HDR,ROLLING SYSTEM DEMAND
VD,20220217022500,25147
VD,20220217023000,25036
VD,20220217023500,25097
VD,20220217024000,25035
VD,20220217024500,25016
VD,20220217025000,24992
VD,20220217025500,24969
VD,20220217030000,24951
VD,20220217030500,25041
VD,20220217031000,25373
VD,20220217031500,25439
VD,20220217032000,25372
VD,20220217032500,25272
VD,20220217033000,25272
VD,20220217033500,25314
VD,20220217034000,25245
VD,20220217034500,25187
VD,20220217035000,25121
VD,20220217035500,25017
VD,20220217040000,24933
VD,20220217040500,25080
VD,20220217041000,25210
VD,20220217041500,25206
VD,20220217042000,25266
VD,20220217042500,25328
VD,20220217043000,25375
VD,20220217043500,25437
VD,20220217044000,25558
VD,20220217044500,25534
VD,20220217045000,25677
VD,20220217045500,25661
VD,20220217050000,25523
VD,20220217050500,25509
VD,20220217051000,25383
VD,20220217051500,25450
VD,20220217052000,25418
VD,20220217052500,25260
VD,20220217053000,25277
VD,20220217053500,25314
VD,20220217054000,25369
VD,20220217054500,25568
VD,20220217055000,25836
VD,20220217055500,25993
VD,20220217060000,25883
VD,20220217060500,25615
VD,20220217061000,25854
VD,20220217061500,26000
VD,20220217062000,26298
VD,20220217062500,26668
VD,20220217063000,27163
VD,20220217063500,27501
VD,20220217064000,27874
VD,20220217064500,28103
VD,20220217065000,28417
VD,20220217065500,28838
VD,20220217070000,29294
VD,20220217070500,29965
VD,20220217071000,30548
VD,20220217071500,30926
VD,20220217072000,31237
VD,20220217072500,31493
VD,20220217073000,31684
VD,20220217073500,31942
VD,20220217074000,32005
VD,20220217074500,32222
VD,20220217075000,32410
VD,20220217075500,32600
VD,20220217080000,32766
VD,20220217080500,33016
VD,20220217081000,33287
VD,20220217081500,33348
VD,20220217082000,33228
VD,20220217082500,33182
VD,20220217083000,33133
VD,20220217083500,33130
VD,20220217084000,33044
VD,20220217084500,33056
VD,20220217085000,33072
VD,20220217085500,32976
VD,20220217090000,32676
VD,20220217090500,32749
VD,20220217091000,32846
VD,20220217091500,33064
VD,20220217092000,33057
VD,20220217092500,32923
VD,20220217093000,32827
VD,20220217093500,32734
VD,20220217094000,32675
VD,20220217094500,32642
VD,20220217095000,32681
VD,20220217095500,32683
VD,20220217100000,32491
VD,20220217100500,32265
VD,20220217101000,32290
VD,20220217101500,32183
VD,20220217102000,32188
VD,20220217102500,32029
VD,20220217103000,32046
VD,20220217103500,32071
VD,20220217104000,32038
VD,20220217104500,32011
VD,20220217105000,31951
VD,20220217105500,31907
VD,20220217110000,31917
VD,20220217110500,31821
VD,20220217111000,31750
VD,20220217111500,31828
VD,20220217112000,31751
VD,20220217112500,31737
VD,20220217113000,31756
VD,20220217113500,31765
VD,20220217114000,31756
VD,20220217114500,31719
VD,20220217115000,31745
VD,20220217115500,31881
VD,20220217120000,31850
VD,20220217120500,31652
VD,20220217121000,31715
VD,20220217121500,31839
VD,20220217122000,31819
VD,20220217122500,31814
VD,20220217123000,31749
VD,20220217123500,31853
VD,20220217124000,31874
VD,20220217124500,31888
VD,20220217125000,31935
VD,20220217125500,31892
VD,20220217130000,31929
VD,20220217130500,31960
VD,20220217131000,31692
VD,20220217131500,31676
VD,20220217132000,31675
VD,20220217132500,31722
VD,20220217133000,31750
VD,20220217133500,31939
VD,20220217134000,31793
VD,20220217134500,31778
VD,20220217135000,31784
VD,20220217135500,31758
VD,20220217140000,31756
VD,20220217140500,32090
VD,20220217141000,32095
VD,20220217141500,32145
VD,20220217142000,32125
VD,20220217142500,32263
VD,20220217143000,32328
VD,20220217143500,32474
VD,20220217144000,32560
VD,20220217144500,32651
VD,20220217145000,32809
VD,20220217145500,33005
VD,20220217150000,33069
VD,20220217150500,33091
VD,20220217151000,33189
VD,20220217151500,33271
VD,20220217152000,33415
VD,20220217152500,33593
VD,20220217153000,33684
VD,20220217153500,34162
VD,20220217154000,34385
VD,20220217154500,34677
VD,20220217155000,35117
VD,20220217155500,35538
VD,20220217160000,35811
VD,20220217160500,36072
VD,20220217161000,36379
VD,20220217161500,36533
VD,20220217162000,36835
VD,20220217162500,36966
VD,20220217163000,37160
VD,20220217163500,37403
VD,20220217164000,37668
VD,20220217164500,37984
VD,20220217165000,38333
VD,20220217165500,38525
VD,20220217170000,38703
VD,20220217170500,39068
VD,20220217171000,39315
VD,20220217171500,39534
VD,20220217172000,39837
VD,20220217172500,40018
VD,20220217173000,40092
VD,20220217173500,40548
VD,20220217174000,40783
VD,20220217174500,41025
VD,20220217175000,41150
VD,20220217175500,41047
VD,20220217180000,41212
VD,20220217180500,41392
VD,20220217181000,41238
VD,20220217181500,41295
VD,20220217182000,41331
VD,20220217182500,41296
VD,20220217183000,41291
VD,20220217183500,41554
VD,20220217184000,41557
VD,20220217184500,41562
VD,20220217185000,41478
VD,20220217185500,41174
VD,20220217190000,40887
VD,20220217190500,40848
VD,20220217191000,40734
VD,20220217191500,40640
VD,20220217192000,40538
VD,20220217192500,40355
VD,20220217193000,40132
VD,20220217193500,40098
VD,20220217194000,39921
VD,20220217194500,39573
VD,20220217195000,39342
VD,20220217195500,39269
VD,20220217200000,38956
VD,20220217200500,38670
VD,20220217201000,38355
VD,20220217201500,38153
VD,20220217202000,38036
VD,20220217202500,37736
VD,20220217203000,37561
VD,20220217203500,37472
VD,20220217204000,37194
VD,20220217204500,36925
VD,20220217205000,36818
VD,20220217205500,36706
VD,20220217210000,36345
VD,20220217210500,36037
VD,20220217211000,35661
VD,20220217211500,35313
VD,20220217212000,34984
VD,20220217212500,34860
VD,20220217213000,34548
VD,20220217213500,34378
VD,20220217214000,34195
VD,20220217214500,33649
VD,20220217215000,33393
VD,20220217215500,33181
VD,20220217220000,32979
VD,20220217220500,32545
VD,20220217221000,32248
VD,20220217221500,31730
VD,20220217222000,31326
VD,20220217222500,31026
VD,20220217223000,30665
VD,20220217223500,30543
VD,20220217224000,30263
VD,20220217224500,29905
VD,20220217225000,29432
VD,20220217225500,29094
VD,20220217230000,28784
VD,20220217230500,28553
VD,20220217231000,28254
VD,20220217231500,28091
VD,20220217232000,27908
VD,20220217232500,27334
VD,20220217233000,26901
VD,20220217233500,26835
VD,20220217234000,26743
VD,20220217234500,26538
VD,20220217235000,26353
VD,20220217235500,26232
VD,20220218000000,26105
VD,20220218000500,26098
VD,20220218001000,26056
VD,20220218001500,25979
VD,20220218002000,25914
VD,20220218002500,25793
VD,20220218003000,25799
VD,20220218003500,26278
VD,20220218004000,26528
VD,20220218004500,26625
VD,20220218005000,26467
VD,20220218005500,26407
VD,20220218010000,26412
VD,20220218010500,26674
VD,20220218011000,26702
VD,20220218011500,26683
VD,20220218012000,26507
VD,20220218012500,26482
VD,20220218013000,26543
VD,20220218013500,26462
VD,20220218014000,26389
VD,20220218014500,26137
VD,20220218015000,25955
VD,20220218015500,25912
VD,20220218020000,25978
VD,20220218020500,25932
VD,20220218021000,25733
VD,20220218021500,25884
VD,20220218022000,25800
VD,20220218022500,25716
VD,20220218023000,25511
VD,20220218023500,25617
VD,20220218024000,25561
VD,20220218024500,25527
VD,20220218025000,25444
VD,20220218025500,25396
VD,20220218030000,25203
VD,20220218030500,25209
VD,20220218031000,25226
VD,20220218031500,25180
VD,20220218032000,24940
VD,20220218032500,24799
VD,20220218033000,24666
VD,20220218033500,24726
VD,20220218034000,24669
VD,20220218034500,24534
VD,20220218035000,24408
VD,20220218035500,24400
VD,20220218040000,24283
VD,20220218040500,24053
VD,20220218041000,24575
VD,20220218041500,24474
VD,20220218042000,24360
VD,20220218042500,24303
VD,20220218043000,23965
VD,20220218043500,23952
VD,20220218044000,24079
VD,20220218044500,24096
VD,20220218045000,24118
VD,20220218045500,24177
VD,20220218050000,24197
VD,20220218050500,24218
VD,20220218051000,24506
VD,20220218051500,24665
VD,20220218052000,24668
VD,20220218052500,24703
VD,20220218053000,24520
VD,20220218053500,24632
VD,20220218054000,24805
VD,20220218054500,24983
VD,20220218055000,25103
VD,20220218055500,25400
VD,20220218060000,25643
VD,20220218060500,26091
VD,20220218061000,26630
VD,20220218061500,26848
VD,20220218062000,26967
VD,20220218062500,26980
VD,20220218063000,27062
VD,20220218063500,27259
VD,20220218064000,27463
VD,20220218064500,27710
VD,20220218065000,28180
VD,20220218065500,28649
VD,20220218070000,29014
VD,20220218070500,29373
VD,20220218071000,29722
VD,20220218071500,30117
VD,20220218072000,30442
VD,20220218072500,30749
VD,20220218073000,31005
VD,20220218073500,31127
VD,20220218074000,31352
VD,20220218074500,31581
VD,20220218075000,31819
VD,20220218075500,32052
VD,20220218080000,32384
VD,20220218080500,32715
VD,20220218081000,33084
VD,20220218081500,33213
VD,20220218082000,33333
VD,20220218082500,33495
VD,20220218083000,33697
VD,20220218083500,33801
VD,20220218084000,33805
VD,20220218084500,33944
VD,20220218085000,34102
VD,20220218085500,34390
VD,20220218090000,34440
VD,20220218090500,34597
VD,20220218091000,34670
VD,20220218091500,34831
VD,20220218092000,34862
VD,20220218092500,35021
VD,20220218093000,35048
VD,20220218093500,35021
VD,20220218094000,35052
VD,20220218094500,35065
VD,20220218095000,34952
VD,20220218095500,34880
VD,20220218100000,34845
VD,20220218100500,34854
VD,20220218101000,34674
VD,20220218101500,34765
VD,20220218102000,34893
VD,20220218102500,35057
VD,20220218103000,35125
VD,20220218103500,35166
VD,20220218104000,35150
VD,20220218104500,35055
VD,20220218105000,35255
VD,20220218105500,35387
VD,20220218110000,35399
VD,20220218110500,35579
VD,20220218111000,35573
VD,20220218111500,35632
VD,20220218112000,35844
VD,20220218112500,36083
VD,20220218113000,35964
VD,20220218113500,36105
VD,20220218114000,36128
VD,20220218114500,36179
VD,20220218115000,36281
VD,20220218115500,36517
VD,20220218120000,36534
VD,20220218120500,36450
VD,20220218121000,36553
VD,20220218121500,36490
VD,20220218122000,36478
VD,20220218122500,36519
VD,20220218123000,36349
VD,20220218123500,36022
VD,20220218124000,36198
VD,20220218124500,36125
VD,20220218125000,36012
VD,20220218125500,35900
VD,20220218130000,35705
VD,20220218130500,35426
VD,20220218131000,35054
VD,20220218131500,34794
VD,20220218132000,34810
VD,20220218132500,34893
VD,20220218133000,34601
VD,20220218133500,34552
VD,20220218134000,34396
VD,20220218134500,34243
VD,20220218135000,34116
VD,20220218135500,33996
VD,20220218140000,33972
VD,20220218140500,33980
VD,20220218141000,34049
VD,20220218141500,34071
VD,20220218142000,34053
VD,20220218142500,33898
VD,20220218143000,33939
VD,20220218143500,33951
VD,20220218144000,33886
VD,20220218144500,33986
VD,20220218145000,34009
VD,20220218145500,34015
VD,20220218150000,33995
VD,20220218150500,33942
VD,20220218151000,34102
VD,20220218151500,34157
VD,20220218152000,34183
VD,20220218152500,30200
VD,20220218153000,30116
VD,20220218153500,34138
